CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/10/2022,8:30,BROOKLYN,11238,40.6764,-73.9629,"(40.676403, -73.96287)",PROSPECT PLACE,GRAND AVENUE,,4,0,0,0,0,0,4,0,Other Vehicular,Following Too Closely,Unspecified,,,4514323,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
9/11/2021,1:20,BRONX,10473,40.80789,-73.8528,"(40.80789, -73.852844)",SOUND VIEW AVENUE,STEPHENS AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Unspecified,,,4456036,Sedan,Sedan,Sedan,,
4/14/2021,10:40,BROOKLYN,11201,40.69479,-73.9825,"(40.694794, -73.98246)",PRINCE STREET,JOHNSON STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4407548,Taxi,Sedan,Sedan,,
4/15/2021,15:45,QUEENS,11354,40.77451,-73.838,"(40.77451, -73.838036)",ULMER STREET,26 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inexperience,Unspecified,,,4407911,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
7/8/2021,15:03,BROOKLYN,11207,40.66184,-73.8931,"(40.661835, -73.893105)",PENNSYLVANIA AVENUE,NEW LOTS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4456602,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
4/17/2021,17:45,QUEENS,11420,40.67901,-73.8126,"(40.67901, -73.81259)",115 AVENUE,127 STREET,,3,0,0,0,0,0,3,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,4408169,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
4/15/2021,9:15,QUEENS,11372,40.75063,-73.876,"(40.750626, -73.87595)",37 AVENUE,91 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Failure to Yield Right-of-Way,Other Vehicular,,,4408888,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
9/11/2021,3:05,BROOKLYN,11216,40.68651,-73.9545,"(40.68651, -73.954544)",BEDFORD AVENUE,QUINCY STREET,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Traffic Control Disregarded,Unspecified,,,4457197,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
9/12/2021,17:30,BROOKLYN,11203,40.63979,-73.9291,"(40.639793, -73.929115)",UTICA AVENUE,FOSTER AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,4456337,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan
9/12/2021,17:13,BRONX,10455,40.8131,-73.8983,"(40.813095, -73.89827)",BRUCKNER BOULEVARD,LEGGETT AVENUE,,4,0,0,0,0,0,4,0,View Obstructed/Limited,Driver Inexperience,Unspecified,Unspecified,Unspecified,4457154,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
11/5/2021,15:00,MANHATTAN,10035,40.80896,-73.9404,"(40.808956, -73.94041)",5 AVENUE,WEST 129 STREET,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,,,4475081,Bus,Sedan,Station Wagon/Sport Utility Vehicle,,
12/15/2021,2:39,MANHATTAN,10024,40.78836,-73.9745,"(40.788357, -73.97453)",WEST 87 STREET,AMSTERDAM AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,4486858,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/14/2021,7:20,MANHATTAN,10024,40.78517,-73.9731,"(40.78517, -73.973145)",WEST 84 STREET,COLUMBUS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4487420,USPS truck,Sedan,Sedan,,
9/13/2021,6:40,QUEENS,11370,40.76485,-73.8861,"(40.76485, -73.88612)",ASTORIA BOULEVARD,83 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4456888,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
4/20/2021,18:25,BRONX,10454,40.80321,-73.9189,"(40.80321, -73.91892)",BRUCKNER BOULEVARD,SAINT ANNS PLACE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4409390,Station Wagon/Sport Utility Vehicle,Box Truck,Station Wagon/Sport Utility Vehicle,,
4/20/2021,23:48,MANHATTAN,10037,40.80953,-73.9379,"(40.809525, -73.93789)",EAST 131 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Following Too Closely,,,4409150,Sedan,Sedan,Sedan,,
9/13/2021,16:20,BROOKLYN,11207,40.65781,-73.8961,"(40.657814, -73.89613)",WILLIAMS AVENUE,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4457473,Sedan,Sedan,Sedan,,
12/17/2021,17:01,QUEENS,11436,40.68586,-73.7955,"(40.685856, -73.79548)",LINDEN BOULEVARD,148 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4487865,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
4/21/2021,10:25,QUEENS,11433,40.70384,-73.7785,"(40.703835, -73.778496)",180 STREET,106 AVENUE,,0,0,0,0,0,0,0,0,Outside Car Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,4409311,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4/22/2021,22:00,QUEENS,11691,40.59398,-73.7702,"(40.593975, -73.77024)",EDGEMERE AVENUE,BEACH 38 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,4409732,Taxi,Sedan,Sedan,,
4/21/2021,15:20,QUEENS,11435,40.69334,-73.8023,"(40.693344, -73.80228)",WALTHAM STREET,107 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4409352,Sedan,Sedan,Sedan,,
4/23/2021,7:41,QUEENS,11358,40.76365,-73.7903,"(40.763645, -73.790276)",CROCHERON AVENUE,192 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,4409824,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/23/2021,10:15,QUEENS,11436,40.66798,-73.7981,"(40.667976, -73.79814)",135 AVENUE,140 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,Unspecified,Unspecified,,4409819,Box Truck,Box Truck,Sedan,Sedan,
9/14/2021,10:18,STATEN ISLAND,10304,40.61991,-74.0859,"(40.619907, -74.08591)",VANDUZER STREET,LAUREL AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4457622,Sedan,Sedan,Sedan,,
12/15/2021,17:35,QUEENS,11422,40.66159,-73.7403,"(40.661587, -73.74033)",241 STREET,CANEY ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unspecified,,,4486820,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
12/16/2021,8:58,QUEENS,11436,40.6767,-73.795,"(40.6767, -73.795)",120 AVENUE,145 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,,,4486978,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
